"filename", "language", "JavaScript", "HTML", "JSON", "comment", "blank", "total"
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\sockets\soketsMap.js", "JavaScript", 10, 0, 0, 0, 3, 13
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\sockets\utils\cookieParser.js", "JavaScript", 11, 0, 0, 0, 1, 12
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\sockets\utils\getGroupMembers.js", "JavaScript", 19, 0, 0, 1, 9, 29
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\sockets\utils\getOtherChatUser.js", "JavaScript", 13, 0, 0, 0, 6, 19
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\sockets\utils\getUserChatPartners.js", "JavaScript", 18, 0, 0, 0, 7, 25
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\utils\apiUtils.js", "JavaScript", 25, 0, 0, 0, 5, 30
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\utils\asyncHandler.js", "JavaScript", 10, 0, 0, 0, 2, 12
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\utils\document existance check\chat.js", "JavaScript", 13, 0, 0, 0, 5, 18
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\utils\document existance check\group.js", "JavaScript", 3, 0, 0, 5, 2, 10
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\utils\document existance check\message.js", "JavaScript", 0, 0, 0, 0, 1, 1
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\utils\document existance check\user.js", "JavaScript", 12, 0, 0, 0, 6, 18
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\utils\fields validations\assertAtleastOneField.js", "JavaScript", 10, 0, 0, 0, 2, 12
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\utils\fields validations\assertRequiredFields.js", "JavaScript", 13, 0, 0, 0, 9, 22
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\utils\fields validations\validateAtleastOneField.js", "JavaScript", 10, 0, 0, 0, 2, 12
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\utils\fields validations\validateRequiredFields.js", "JavaScript", 15, 0, 0, 4, 8, 27
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\utils\getUniqueMembers.js", "JavaScript", 13, 0, 0, 11, 8, 32
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\utils\isValidObjectId.js", "JavaScript", 7, 0, 0, 0, 4, 11
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\utils\verify-success.html", "HTML", 0, 77, 0, 0, 9, 86
"Total", "-", 2878, 77, 2653, 173, 774, 6555
