"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "PostCSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\services\getTime.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 1, 0, 8
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\socket\handlers\chat.handler.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\socket\handlers\error.handler.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 1, 8
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\socket\handlers\group.handler.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 8, 27
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\socket\handlers\message.handler.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 8, 31, 84
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\socket\handlers\onlineStatus.handler.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 3, 3, 25
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\socket\socket.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 5, 10
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\socket\socketListeners.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\store\useAssetsStore.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 8, 26
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\store\useChatStore.js", "JavaScript", 289, 0, 0, 0, 0, 0, 0, 0, 57, 346
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\store\useGroupChatStore.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 13, 71
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\src\store\userStore.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 1, 10, 36
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\tailwind.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 1, 0, 11
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\vercel.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\client\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1101, 4494, 4759, 8, 2, 9, 14, 279, 843, 11509
